FUENTE: Ministerio de Agricultura, Pesca y Alimentación				
				
				
Alava				
				
	Comarca 01: Cantábrica			
	039	Castellnovo		
	043	Caudiel		
	056	Chóvar		
	046	Cirat		
	057	Eslida		
	063	Fuente la Reina		
	064	Fuentes de Ayódar		
	065	Gaibiel		
	067	Geldo		
	069	Higueras		
	071	Jérica		
	076	Matet		
	078	Montán		
	079	Montanejos		
	081	Navajas		
	088	Pavías		
	090	Pina de Montalgrao		
	092	Puebla de Arenoso		
	097	Sacañet		
	104	Segorbe		
	106	Soneja		
	107	Sot de Ferrer		
	108	Sueras/Suera		
	110	Teresa		
	114	Torás		
	115	Toro (El)		
	116	Torralba del Pinar		
	118	Torrechiva		
	125	Vall de Almonacid		
	131	Villamalur		
	133	Villanueva de Viver		
	140	Viver		
				
				
Ciudad Real				
				
				
	Comarca 01: Montes Norte			
				
	006	Alcoba		
	017	Anchuras		
	021	Arroba de los Montes		
	036	Cortijos (Los)		
	041	Fontanarejo		
	044	Fuente el Fresno		
	049	Horcajo de los Montes		
	051	Luciana		
	052	Malagón		
	059	Navalpino		
	060	Navas de Estena		
	063	Piedrabuena		
	065	Porzuna		
	068	Puebla de Don Rodrigo		
	072	Retuerta del Bullaque		
	901	Robledo (El)		
				
	Comarca 02: Campo de Calatrava			
				
	007	Alcolea de Calatrava		
	009	Aldea del Rey		
	013	Almagro		
	020	Argamasilla de Calatrava		
	022	Ballesteros de Calatrava		
	023	Bolaños de Calatrava		
	025	Cabezarados		
	027	Calzada de Calatrava		
	029	Cañada de Calatrava		
	030	Caracuel de Calatrava		
	031	Carrión de Calatrava		
	034	Ciudad Real		
	035	Corral de Calatrava		
	040	Fernancaballero		
	045	Granátula de Calatrava		
	056	Miguelturra		
	058	Moral de Calatrava		
	062	Picón		
	064	Poblete		
	066	Pozuelo de Calatrava		
	067	Pozuelos de Calatrava (Los)		
	083	Torralba de Calatrava		
	088	Valenzuela de Calatrava		
	091	Villamayor de Calatrava		
	095	Villar del Pozo		
	098	Viso del Marqués		
				
	Comarca 03: Mancha			
				
	005	Alcázar de San Juan		
	903	Arenales de San Gregorio		
	018	Arenas de San Juan		
	019	Argamasilla de Alba		
	028	Campo de Criptana		
	039	Daimiel		
	047	Herencia		
	050	Labores (Las)		
	904	Llanos del Caudillo		
	053	Manzanares		
	054	Membrilla		
	061	Pedro Muñoz		
	070	Puerto Lápice		
	902	Ruidera		
	074	San Carlos del Valle		
	077	Santa Cruz de Mudela		
	078	Socuéllamos		
	079	Solana (La)		
	082	Tomelloso		
	087	Valdepeñas		
	096	Villarrubia de los Ojos		
	097	Villarta de San Juan		
				
	Comarca 04: Montes Sur			
				
	002	Agudo		
	003	Alamillo		
	011	Almadén		
	012	Almadenejos		
	038	Chillón		
	046	Guadalmez		
	073	Saceruela		
	086	Valdemanco del Esteras		
				
	Comarca 05: Pastos			
				
	001	Abenójar		
	015	Almodóvar del Campo		
	016	Almuradiel		
	024	Brazatortas		
	026	Cabezarrubias del Puerto		
	042	Fuencaliente		
	048	Hinojosas de Calatrava		
	055	Mestanza		
	071	Puertollano		
	075	San Lorenzo de Calatrava		
	080	Solana del Pino		
	094	Villanueva de San Carlos		
				
	Comarca 06: Campo de Montiel			
				
	004	Albaladejo		
	008	Alcubillas		
	010	Alhambra		
	014	Almedina		
	032	Carrizosa		
	033	Castellar de Santiago		
	037	Cózar		
	043	Fuenllana		
	057	Montiel		
	069	Puebla del Príncipe		
	076	Santa Cruz de los Cáñamos		
	081	Terrinches		
	084	Torre de Juan Abad		
	085	Torrenueva		
	089	Villahermosa		
	090	Villamanrique		
	092	Villanueva de la Fuente		
	093	Villanueva de los Infantes		
				
				
Córdoba				
				
				
	Comarca 01: Pedroches			
				
	003	Alcaracejos		
	006	Añora		
	008	Belalcázar		
	009	Belmez		
	011	Blázquez (Los)		
	016	Cardeña		
	020	Conquista		
	023	Dos Torres		
	028	Fuente la Lancha		
	029	Fuente Obejuna		
	032	Granjuela (La)		
	034	Guijo (El)		
	035	Hinojosa del Duque		
	051	Pedroche		
	052	Peñarroya-Pueblonuevo		
	054	Pozoblanco		
	061	Santa Eufemia		
	062	Torrecampo		
	064	Valsequillo		
	069	Villanueva de Córdoba		
	070	Villanueva del Duque		
	072	Villaralto		
	074	Viso (El)		
				
	Comarca 02: La Sierra			
				
	001	Adamuz		
	026	Espiel		
	036	Hornachuelos		
	043	Montoro		
	047	Obejo		
	068	Villaharta		
	071	Villanueva del Rey		
	073	Villaviciosa de Córdoba		
				
	Comarca 03: Campiña Baja			
				
	005	Almodóvar del Río		
	012	Bujalance		
	014	Cañete de las Torres		
	018	Carpio (El)		
	019	Castro del Río		
	021	Córdoba		
	025	Espejo		
	027	Fernán-Núñez		
	040	Montalbán de Córdoba		
	049	Palma del Río		
	050	Pedro Abad		
	053	Posadas		
	057	Rambla (La)		
	060	Santaella		
	066	Villa del Río		
	067	Villafranca de Córdoba		
				
	Comarca 04: Las Colonias			
				
	017	Carlota (La)		
	030	Fuente Palmera		
	033	Guadalcázar		
	059	San Sebastián de los Balleste		
	065	Victoria (La)		
				
	Comarca 05: Campiña Alta			
				
	002	Aguilar de la Frontera		
	007	Baena		
	010	Benamejí		
	013	Cabra		
	022	Doña Mencía		
	024	Encinas Reales		
	038	Lucena		
	041	Montemayor		
	042	Montilla		
	044	Monturque		
	045	Moriles		
	046	Nueva Carteya		
	048	Palenciana		
	056	Puente Genil		
	063	Valenzuela		
				
	Comarca 06: Penibética			
				
	004	Almedinilla		
	015	Carcabuey		
	031	Fuente-Tójar		
	037	Iznájar		
	039	Luque		
	055	Priego de Córdoba		
	058	Rute		
	075	Zuheros		
				
				
A Coruña				
				
				
	Comarca 01: Septentrional			
				
	001	Abegondo		
	004	Ares		
	005	Arteixo		
	008	Bergondo		
	009	Betanzos		
	014	Cabana de Bergantiños		
	015	Cabanas		
	017	Cambre		
	019	Carballo		
	901	Cariño		
	021	Carral		
	022	Cedeira		
	025	Cerdido		
	026	Cesuras		
	027	Coirós		
	029	Coristanco		
	030	Coruña (A)		
	031	Culleredo		
	035	Fene		
	036	Ferrol		
	041	Laracha		
	043	Malpica de Bergantiños		
	044	Mañón		
	048	Miño		
	049	Moeche		
	051	Mugardos		
	054	Narón		
	055	Neda		
	058	Oleiros		
	061	Ortigueira		
	063	Oza dos Ríos		
	064	Paderne		
	068	Ponteceso		
	069	Pontedeume		
	075	Sada		
	076	San Sadurniño		
	087	Valdoviño		
	091	Vilarmaior		
				
	Comarca 02: Occidental			
				
	002	Ames		
	007	Baña (A)		
	011	Boiro		
	012	Boqueixón		
	013	Brión		
	016	Camariñas		
	020	Carnota		
	023	Cee		
	028	Corcubión		
	033	Dodro		
	034	Dumbría		
	037	Fisterra		
	040	Laxe		
	042	Lousame		
	045	Mazaricos		
	053	Muros		
	052	Muxía		
	056	Negreira		
	057	Noia		
	062	Outes		
	065	Padrón		
	067	Pobra do Caramiñal (A)		
	071	Porto do Son		
	072	Rianxo		
	073	Ribeira		
	074	Rois		
	077	Santa Comba		
	078	Santiago de Compostela		
	082	Teo		
	089	Vedra		
	092	Vimianzo		
	093	Zas		
				
	Comarca 03: Interior			
				
	003	Aranga		
	006	Arzúa		
	010	Boimorto		
	018	Capela (A)		
	024	Cerceda		
	032	Curtis		
	038	Frades		
	039	Irixoa		
	046	Melide		
	047	Mesía		
	050	Monfero		
	059	Ordes		
	060	Oroso		
	066	Pino (O)		
	070	Pontes de García Rodríguez (A		
	079	Santiso		
	080	Sobrado		
	081	Somozas (As)		
	083	Toques		
	084	Tordoia		
	085	Touro		
	086	Trazo		
	088	Val do Dubra		
	090	Vilasantar		
				
				
Cuenca				
				
				
	Comarca 01: Alcarria			
				
	005	Albalate de las Nogueras		
	006	Albendea		
	009	Alcantud		
	011	Alcohujate		
	020	Arandilla del Arroyo		
	025	Arrancacepas		
	027	Barajas de Melo		
	038	Buciegas		
	041	Buendía		
	045	Canalejas del Arroyo		
	050	Cañaveras		
	051	Cañaveruelas		
	067	Castejón		
	071	Castillo-Albaráñez		
	094	Gascueña		
	112	Huete		
	119	Leganiel		
	140	Olmeda de la Cuesta		
	143	Olmedilla de Eliz		
	156	Peraleja (La)		
	160	Pineda de Gigüela		
	162	Portalrubio de Guadamejud		
	170	Priego		
	173	Puebla de Don Francisco		
	185	Saceda-Trasierra		
	188	Salmeroncillos		
	193	San Pedro Palmiches		
	206	Tinajas		
	209	Torralba		
	906	Valdecolmenas (Los)		
	228	Valdeolivas		
	240	Vellisca		
	242	Villaconejos de Trabaque		
	246	Villalba del Rey		
	250	Villanueva de Guadamejud		
	254	Villar de Domingo García		
	259	Villar del Infantado		
	910	Villar y Velasco		
	265	Villarejo de la Peñuela		
	272	Villas de la Ventosa		
	275	Vindel		
				
	Comarca 02: Serranía Alta			
				
	035	Beteta		
	053	Cañizares		
	057	Carrascosa		
	079	Cueva del Hierro		
	091	Fuertescusa		
	107	Huélamo		
	111	Huerta del Marquesado		
	115	Laguna del Marquesado		
	116	Lagunaseca		
	121	Majadas (Las)		
	123	Masegosa		
	165	Poyatos		
	169	Pozuelo (El)		
	197	Santa María del Val		
	215	Tragacete		
	224	Valdemeca		
	234	Valsalobre		
	239	Vega del Codorno		
	278	Zafrilla		
				
	Comarca 03: Serranía Media			
				
	001	Abia de la Obispalía		
	004	Albaladejo del Cuende		
	017	Almodóvar del Pinar		
	905	Arcas del Villar		
	022	Arcos de la Sierra		
	029	Barchín del Hoyo		
	030	Bascuñana de San Pedro		
	031	Beamud		
	040	Buenache de la Sierra		
	048	Cañamares		
	070	Castillejo-Sierra		
	023	Chillarón de Cuenca		
	081	Chumillas		
	074	Cierva (La)		
	078	Cuenca		
	082	Enguídanos		
	083	Fresneda de Altarejos		
	084	Fresneda de la Sierra		
	085	Frontera (La)		
	904	Fuentenava de Jábaga		
	089	Fuentes		
	122	Mariana		
	131	Monteagudo de las Salinas		
	141	Olmeda del Rey		
	149	Palomera		
	150	Paracuellos		
	152	Parra de las Vegas (La)		
	157	Pesquera (La)		
	161	Piqueras del Castillo		
	163	Portilla		
	199	Solera de Gabaldón		
	909	Sotorribas		
	219	Uña		
	225	Valdemorillo de la Sierra		
	227	Valdemoro-Sierra		
	902	Valdetórtola		
	903	Valeras (Las)		
	245	Villalba de la Sierra		
	263	Villar de Olalla		
	280	Zarzuela		
				
	Comarca 04: Serranía Baja			
				
	008	Alcalá de la Vega		
	013	Algarra		
	014	Aliaguilla		
	024	Arguisuelas		
	036	Boniches		
	043	Campillos-Paravientos		
	044	Campillos-Sierra		
	046	Cañada del Hoyo		
	052	Cañete		
	055	Carboneras de Guadazaón		
	056	Cardenete		
	062	Casas de Garcimolina		
	088	Fuentelespino de Moya		
	093	Garaballa		
	095	Graja de Campalbo		
	097	Henarejos		
	109	Huérguina		
	117	Landete		
	126	Mira		
	135	Moya		
	137	Narboneta		
	146	Pajarón		
	147	Pajaroncillo		
	177	Reíllo		
	187	Salinas del Manzano		
	189	Salvacañete		
	192	San Martín de Boniches		
	194	Santa Cruz de Moya		
	202	Talayuelas		
	205	Tejadillos		
	258	Villar del Humo		
	274	Víllora		
	276	Yémeda		
				
	Comarca 05: Manchuela			
				
	003	Alarcón		
	039	Buenache de Alarcón		
	042	Campillo de Altobuey		
	060	Casas de Benítez		
	063	Casas de Guijarro		
	066	Casasimarro		
	068	Castillejo de Iniesta		
	092	Gabaldón		
	096	Graja de Iniesta		
	098	Herrumblar (El)		
	104	Hontecillas		
	113	Iniesta		
	118	Ledaña		
	125	Minglanilla		
	134	Motilla del Palancar		
	142	Olmedilla de Alarcón		
	155	Peral (El)		
	158	Picazo (El)		
	908	Pozorrubielos de la Mancha		
	174	Puebla del Salvador		
	175	Quintanar del Rey		
	198	Sisante		
	204	Tébar		
	231	Valhermoso de la Fuente		
	237	Valverdejo		
	244	Villagarcía del Llano		
	248	Villalpardo		
	251	Villanueva de la Jara		
	271	Villarta		
				
	Comarca 06: Mancha Baja			
				
	007	Alberca de Záncara (La)		
	033	Belmonte		
	058	Carrascosa de Haro		
	061	Casas de Fernando Alonso		
	064	Casas de Haro		
	065	Casas de los Pinos		
	087	Fuentelespino de Haro		
	100	Hinojosos (Los)		
	103	Hontanaya		
	124	Mesas (Las)		
	128	Monreal del Llano		
	133	Mota del Cuervo		
	145	Osa de la Vega		
	153	Pedernoso (El)		
	154	Pedroñeras (Las)		
	166	Pozoamargo		
	171	Provencio (El)		
	176	Rada de Haro		
	190	San Clemente		
	196	Santa María de los Llanos		
	195	Santa María del Campo Rus		
	216	Tresjuncos		
	238	Vara de Rey		
	243	Villaescusa de Haro		
	249	Villamayor de Santiago		
	255	Villar de la Encina		
				
	Comarca 07: Mancha Alta			
				
	002	Acebrón (El)		
	010	Alcázar del Rey		
	012	Alconchel de la Estrella		
	015	Almarcha (La)		
	016	Almendros		
	018	Almonacid del Marquesado		
	019	Altarejos		
	026	Atalaya del Cañavate		
	032	Belinchón		
	034	Belmontejo		
	901	Campos del Paraíso		
	047	Cañada Juncosa		
	049	Cañavate (El)		
	072	Castillo de Garcimuñoz		
	073	Cervera del Llano		
	086	Fuente de Pedro Naharro		
	099	Hinojosa (La)		
	101	Hito (El)		
	102	Honrubia		
	106	Horcajo de Santiago		
	108	Huelves		
	110	Huerta de la Obispalía		
	129	Montalbanejo		
	130	Montalbo		
	132	Mota de Altarejos		
	139	Olivares de Júcar		
	148	Palomares del Campo		
	151	Paredes		
	159	Pinarejo		
	167	Pozorrubio		
	172	Puebla de Almenara		
	181	Rozalén del Monte		
	186	Saelices		
	191	San Lorenzo de la Parrilla		
	203	Tarancón		
	211	Torrejoncillo del Rey		
	212	Torrubia del Campo		
	213	Torrubia del Castillo		
	217	Tribaldos		
	218	Uclés		
	236	Valverde de Júcar		
	247	Villalgordo del Marquesado		
	253	Villar de Cañas		
	264	Villarejo de Fuentes		
	266	Villarejo-Periesteban		
	269	Villares del Saz		
	270	Villarrubio		
	273	Villaverde y Pasaconsol		
	277	Zafra de Záncara		
	279	Zarza de Tajo		
				
				
Girona				
				
				
	Comarca 01: Cerdaña			
				
	006	Alp		
	024	Bolvir		
	061	Das		
	069	Fontanals de Cerdanya		
	078	Ger		
	082	Guils de Cerdanya		
	084	Isòvol		
	094	Llívia		
	099	Meranges		
	141	Puigcerdà		
	206	Urús		
				
	Comarca 02: Ripollés			
				
	036	Campdevànol		
	037	Campelles		
	039	Camprodon		
	080	Gombrèn		
	091	Llanars		
	096	Llosses (Les)		
	107	Molló		
	112	Ogassa		
	125	Pardines		
	134	Planoles		
	043	Queralbs		
	145	Ribes de Freser		
	147	Ripoll		
	167	Sant Joan de les Abadesses		
	177	Sant Pau de Segúries		
	192	Setcases		
	201	Toses		
	170	Vallfogona de Ripollès		
	212	Vidrà		
	224	Vilallonga de Ter		
				
	Comarca 03: Garrotxa			
				
	010	Argelaguer		
	019	Besalú		
	021	Beuda		
	046	Castellfollit de la Roca		
	098	Maià de Montcal		
	105	Mieres		
	109	Montagut		
	114	Olot		
	133	Planes d'Hostoles (Les)		
	139	Preses (Les)		
	149	Riudaura		
	154	Sales de Llierca		
	183	Sant Aniol de Finestres		
	161	Sant Feliu de Pallerols		
	162	Sant Ferriol		
	165	Sant Jaume de Llierca		
	185	Sant Joan les Fonts		
	184	Santa Pau		
	200	Tortellà		
	208	Vall de Bianya (La)		
	207	Vall d'en Bas (La)		
				
	Comarca 04: Alto Ampurdán			
				
	001	Agullana		
	003	Albanyà		
	011	Armentera (L')		
	012	Avinyonet de Puigventós		
	016	Bàscara		
	234	Biure		
	029	Boadella d'Empordà		
	026	Borrassà		
	031	Cabanelles		
	030	Cabanes		
	032	Cadaqués		
	041	Cantallops		
	042	Capmany		
	047	Castelló d'Empúries		
	051	Cistella		
	054	Colera		
	060	Darnius		
	064	Espolla		
	005	Far d'Empordà (El)		
	066	Figueres		
	074	Fortià		
	075	Garrigàs		
	077	Garriguella		
	086	Jonquera (La)		
	088	Lladó		
	092	Llançà		
	093	Llers		
	102	Maçanet de Cabrenys		
	100	Masarac		
	106	Mollet de Peralada		
	111	Navata		
	115	Ordis		
	119	Palau de Santa Eulàlia		
	120	Palau-saverdera		
	128	Pau		
	129	Pedret i Marzà		
	132	Peralada		
	135	Pont de Molins		
	136	Pontós		
	140	Port de la Selva (El)		
	138	Portbou		
	143	Rabós		
	151	Riumors		
	152	Roses		
	158	Sant Climent Sescebes		
	171	Sant Llorenç de la Muga		
	175	Sant Miquel de Fluvià		
	176	Sant Mori		
	178	Sant Pere Pescador		
	182	Santa Llogaia d'Àlguema		
	187	Saus		
	188	Selva de Mar (La)		
	052	Siurana		
	196	Terrades		
	198	Torroella de Fluvià		
	014	Vajol (La)		
	210	Ventalló		
	214	Vilabertran		
	217	Viladamat		
	221	Vilafant		
	223	Vilajuïga		
	225	Vilamacolum		
	226	Vilamalla		
	227	Vilamaniscle		
	228	Vilanant		
	230	Vila-sacra		
	222	Vilaür		
				
	Comarca 05: Bajo Ampurdán			
				
	004	Albons		
	013	Begur		
	018	Bellcaire d'Empordà		
	022	Bisbal d'Empordà (La)		
	034	Calonge		
	048	Castell-Platja d'Aro		
	055	Colomers		
	057	Corçà		
	901	Cruïlles, Monells i Sant Sadu		
	062	Escala (L')		
	068	Foixà		
	070	Fontanilles		
	902	Forallac		
	076	Garrigoles		
	081	Gualta		
	085	Jafre		
	110	Mont-ras		
	117	Palafrugell		
	118	Palamós		
	121	Palau-sator		
	124	Pals		
	126	Parlavà		
	130	Pera (La)		
	144	Regencós		
	153	Rupià		
	160	Sant Feliu de Guíxols		
	181	Santa Cristina d'Aro		
	191	Serra de Daró		
	195	Tallada d'Empordà (La)		
	197	Torrent		
	199	Torroella de Montgrí		
	204	Ullà		
	205	Ullastret		
	203	Ultramort		
	209	Vall-llobrega		
	211	Verges		
	232	Vilopriu		
				
	Comarca 06: Gironés			
				
	002	Aiguaviva		
	015	Banyoles		
	020	Bescanó		
	025	Bordils		
	035	Camós		
	038	Campllong		
	040	Canet d'Adri		
	044	Cassà de la Selva		
	049	Celrà		
	050	Cervià de Ter		
	056	Cornellà del Terri		
	058	Crespià		
	065	Esponellà		
	067	Flaçà		
	071	Fontcoberta		
	073	Fornells de la Selva		
	079	Girona		
	087	Juià		
	089	Llagostera		
	090	Llambilles		
	097	Madremanya		
	123	Palol de Revardit		
	137	Porqueres		
	142	Quart		
	155	Salt		
	163	Sant Gregori		
	168	Sant Joan de Mollet		
	166	Sant Jordi Desvalls		
	169	Sant Julià de Ramis		
	172	Sant Martí de Llémena		
	173	Sant Martí Vell		
	174	Sant Miquel de Campmajor		
	186	Sarrià de Ter		
	190	Serinyà		
	215	Vilablareix		
	216	Viladasens		
	218	Vilademuls		
				
	Comarca 07: La Selva			
				
	007	Amer		
	008	Anglès		
	009	Arbúcies		
	023	Blanes		
	027	Breda		
	028	Brunyola		
	033	Caldes de Malavella		
	189	Cellera de Ter (La)		
	063	Espinelves		
	083	Hostalric		
	095	Lloret de Mar		
	103	Maçanet de la Selva		
	101	Massanes		
	116	Osor		
	146	Riells i Viabrea		
	148	Riudarenes		
	150	Riudellots de la Selva		
	157	Sant Andreu Salou		
	159	Sant Feliu de Buixalleu		
	164	Sant Hilari Sacalm		
	903	Sant Julià del Llor i Bonmatí		
	180	Santa Coloma de Farners		
	193	Sils		
	194	Susqueda		
	202	Tossa de Mar		
	213	Vidreres		
	220	Viladrau		
	233	Vilobí d'Onyar		
				
				
Granada				
				
				
	Comarca 01: De la Vega			
				
	003	Albolote		
	011	Alfacar		
	014	Alhendín		
	021	Armilla		
	022	Atarfe		
	024	Beas de Granada		
	036	Cájar		
	037	Calicasas		
	047	Cenes de la Vega		
	059	Chauchina		
	062	Churriana de la Vega		
	048	Cijuela		
	050	Cogollos de la Vega		
	057	Cúllar Vega		
	068	Dílar		
	070	Dúdar		
	079	Fuente Vaqueros		
	905	Gabias (Las)		
	084	Gójar		
	087	Granada		
	094	Güejar Sierra		
	095	Güevéjar		
	099	Huétor de Santillán		
	100	Huétor Tájar		
	101	Huétor Vega		
	111	Jun		
	115	Láchar		
	122	Loja		
	127	Maracena		
	134	Monachil		
	138	Moraleda de Zafayona		
	144	Nívar		
	145	Ogíjares		
	149	Otura		
	153	Peligros		
	157	Pinos Genil		
	158	Pinos Puente		
	165	Pulianas		
	168	Quéntar		
	171	Salar		
	175	Santa Fe		
	911	Vegas del Genil		
	188	Villanueva Mesía		
	189	Víznar		
	913	Zagra		
	193	Zubia (La)		
				
	Comarca 02: Guadix			
				
	005	Albuñán		
	010	Aldeire		
	015	Alicún de Ortega		
	018	Alquife		
	025	Beas de Guadix		
	027	Benalúa de Guadix		
	114	Calahorra (La)		
	049	Cogollos de Guadix		
	054	Cortes y Graena		
	063	Darro		
	064	Dehesas de Guadix		
	067	Diezma		
	069	Dólar		
	074	Ferreira		
	076	Fonelas		
	085	Gor		
	086	Gorafe		
	089	Guadix		
	096	Huélago		
	097	Huéneja		
	108	Jerez del Marquesado		
	117	Lanteira		
	123	Lugros		
	128	Marchal		
	154	Peza (La)		
	161	Polícar		
	167	Purullena		
	907	Valle del Zalabí		
	187	Villanueva de las Torres		
				
	Comarca 03: Baza			
				
	023	Baza		
	029	Benamaurel		
	039	Caniles		
	053	Cortes de Baza		
	912	Cuevas del Campo		
	056	Cúllar		
	078	Freila		
	194	Zújar		
				
	Comarca 04: Huéscar			
				
	045	Castilléjar		
	046	Castril		
	082	Galera		
	098	Huéscar		
	146	Orce		
	164	Puebla de Don Fadrique		
				
	Comarca 05: Iznalloz			
				
	002	Alamedilla		
	028	Benalúa de las Villas		
	038	Campotéjar		
	051	Colomera		
	066	Deifontes		
	083	Gobernador		
	088	Guadahortuna		
	105	Iznalloz		
	136	Montejícar		
	137	Montillana		
	909	Morelábor		
	152	Pedro Martínez		
	159	Píñar		
	178	Torre-Cardela		
				
	Comarca 06: Montefrío			
				
	012	Algarinejo		
	102	Illora		
	132	Moclín		
	135	Montefrío		
				
	Comarca 07: Alhama			
				
	001	Agrón		
	013	Alhama de Granada		
	020	Arenas del Rey		
	034	Cacín		
	061	Chimeneas		
	072	Escúzar		
	107	Jayena		
	126	Malahá (La)		
	174	Santa Cruz del Comercio		
	185	Ventas de Huelma		
	192	Zafarraya		
				
	Comarca 08: La Costa			
				
	004	Albondón		
	006	Albuñol		
	017	Almuñécar		
	906	Guajares (Los)		
	093	Gualchos		
	103	Itrabo		
	109	Jete		
	120	Lentegí		
	124	Lújar		
	133	Molvízar		
	140	Motril		
	148	Otívar		
	162	Polopos		
	170	Rubite		
	173	Salobreña		
	177	Sorvilán		
	184	Vélez de Benaudalla		
				
	Comarca 09: Las Alpujarras			
				
	016	Almegíjar		
	904	Alpujarra de la Sierra		
	030	Bérchules		
	032	Bubión		
	033	Busquístar		
	035	Cádiar		
	040	Cáñar		
	042	Capileira		
	043	Carataunas		
	044	Cástaras		
	112	Juviles		
	116	Lanjarón		
	121	Lobras		
	141	Murtas		
	903	Nevada		
	147	Órgiva		
	151	Pampaneira		
	163	Pórtugos		
	176	Soportújar		
	901	Taha (La)		
	179	Torvizcón		
	180	Trevélez		
	181	Turón		
	182	Ugíjar		
	183	Válor		
				
	Comarca 10: Valle de Lecrín			
				
	007	Albuñuelas		
	071	Dúrcal		
	119	Lecrín		
	143	Nigüelas		
	150	Padul		
	910	Pinar (El)		
	902	Valle (El)		
	908	Villamena		
				
				
Guadalajara				
				
				
	Comarca 01: Campiña			
				
	006	Albalate de Zorita		
	007	Albares		
	015	Aldeanueva de Guadalajara		
	021	Almoguera		
	022	Almonacid de Zorita		
	024	Alovera		
	036	Aranzueque		
	041	Armuña de Tajuña		
	043	Atanzón		
	046	Azuqueca de Henares		
	058	Cabanillas del Campo		
	070	Casa de Uceda		
	071	Casar (El)		
	074	Caspueñas		
	082	Centenera		
	105	Chiloeches		
	102	Cubillo de Uceda (El)		
	107	Driebes		
	111	Escariche		
	112	Escopete		
	117	Fontanar		
	120	Fuentelahiguera de Albatages		
	121	Fuentelencina		
	123	Fuentelviejo		
	124	Fuentenovilla		
	126	Galápagos		
	130	Guadalajara		
	142	Hontoba		
	143	Horche		
	150	Hueva		
	151	Humanes		
	152	Illana		
	160	Loranca de Tajuña		
	161	Lupiana		
	166	Málaga del Fresno		
	167	Malaguilla		
	171	Marchamalo		
	176	Mazuecos		
	189	Mohernando		
	192	Mondéjar		
	194	Moratilla de los Meleros		
	212	Pastrana		
	215	Peñalver		
	220	Pioz		
	224	Pozo de Almoguera		
	225	Pozo de Guadalajara		
	230	Quer		
	233	Renera		
	239	Robledillo de Mohernando		
	242	Romanones		
	252	Sayatón		
	266	Tendilla		
	280	Torrejón del Rey		
	286	Tórtola de Henares		
	293	Uceda		
	297	Valdarachas		
	299	Valdeavellano		
	300	Valdeaveruelo		
	301	Valdeconcha		
	302	Valdegrudas		
	304	Valdenuño Fernández		
	308	Valfermoso de Tajuña		
	319	Villanueva de la Torre		
	323	Villaseca de Uceda		
	325	Viñuelas		
	326	Yebes		
	327	Yebra		
	331	Yunquera de Henares		
	335	Zorita de los Canes		
				
	Comarca 02: Sierra			
				
	008	Albendiego		
	010	Alcolea de las Peñas		
	031	Angón		
	037	Arbancón		
	042	Arroyo de las Fraguas		
	044	Atienza		
	047	Baides		
	049	Bañuelos		
	052	Bodera (La)		
	057	Bustares		
	060	Campillo de Ranas		
	061	Campisábalos		
	065	Cantalojas		
	067	Cardoso de la Sierra (El)		
	080	Cendejas de Enmedio		
	081	Cendejas de la Torre		
	087	Cincovillas		
	092	Cogolludo		
	095	Condemios de Abajo		
	096	Condemios de Arriba		
	097	Congostrina		
	116	Estriégana		
	119	Fuencemillán		
	127	Galve de Sorbe		
	129	Gascueña de Bornova		
	135	Hiendelaencina		
	136	Hijes		
	146	Huerce (La)		
	147	Huérmeces del Cerro		
	157	Jirueque		
	165	Majaelrayo		
	173	Matarrubia		
	177	Medranda		
	179	Membrillera		
	181	Miedes de Atienza		
	182	Mierla (La)		
	185	Miñosa (La)		
	191	Monasterio		
	193	Montarrón		
	197	Navas de Jadraque (Las)		
	198	Negredo		
	202	Olmeda de Jadraque (La)		
	203	Ordial (El)		
	208	Pálmaces de Jadraque		
	210	Paredes de Sigüenza		
	218	Pinilla de Jadraque		
	226	Prádena de Atienza		
	228	Puebla de Beleña		
	229	Puebla de Valles		
	231	Rebollosa de Jadraque		
	234	Retiendas		
	238	Riofrío del Llano		
	240	Robledo de Corpes		
	241	Romanillos de Atienza		
	248	San Andrés del Congosto		
	250	Santiuste		
	251	Saúca		
	901	Semillas		
	256	Sienes		
	257	Sigüenza		
	259	Somolinos		
	262	Tamajón		
	269	Toba (La)		
	270	Tordelrábano		
	281	Torremocha de Jadraque		
	288	Tortuero		
	294	Ujados		
	303	Valdelcubo		
	305	Valdepeñas de la Sierra		
	307	Valdesotos		
	311	Valverde de los Arroyos		
	314	Viana de Jadraque		
	321	Villares de Jadraque		
	334	Zarzuela de Jadraque		
				
	Comarca 03: Alcarria Alta			
				
	001	Abánades		
	002	Ablanque		
	004	Alaminos		
	005	Alarilla		
	011	Alcolea del Pinar		
	017	Algora		
	020	Almadrones		
	032	Anguita		
	039	Argecilla		
	050	Barriopedro		
	053	Brihuega		
	055	Bujalaro		
	064	Canredondo		
	066	Cañizar		
	073	Casas de San Galindo		
	075	Castejón de Henares		
	086	Cifuentes		
	088	Ciruelas		
	091	Cogollor		
	098	Copernal		
	113	Espinosa de Henares		
	114	Esplegares		
	125	Gajanejos		
	132	Henche		
	133	Heras de Ayuso		
	138	Hita		
	145	Hortezuela de Océn		
	148	Huertahernando		
	153	Iniéstola		
	154	Inviernas (Las)		
	155	Irueste		
	156	Jadraque		
	159	Ledanca		
	162	Luzaga		
	168	Mandayona		
